Column 4,ABC,Agency Name,Agency description
345,N,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"The National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) supports the research of diabetes, digestive diseases, kidney diseases, and more."
346,N,National Institute of Food and Agriculture (NIFA),The National Institute of Food and Agriculture (NIFA) is a research and grant-making organization focused on agriculture.
347,N,National Institute of Justice (NIJ),The National Institute of Justice (NIJ) is dedicated to improving knowledge and understanding of crime and justice issues through science.
348,N,National Institute of Mental Health (NIMH),"The National Institute of Mental Health (NIMH) conducts and supports research that seeks to understand, treat, and prevent mental illness."
349,N,National Institute of Neurological Disorders and Stroke (NINDS),"The National Institute of Neurological Disorders and Stroke (NINDS) investigates the causes, prevention, diagnosis and treatment of neurological diseases such as cerebral palsy, Parkinson's disease, multiple sclerosis, autism, and stroke."
350,N,National Institute of Standards and Technology (NIST),"The National Institute of Standards and Technology (NIST) promotes U.S. innovation and industrial competitiveness by advancing measurement science, standards, and technology in ways that enhance economic security and improve our quality of life."
351,N,National Institutes of Health (NIH),The National Institutes of Health (NIH) is the primary Federal agency for conducting and supporting medical research.
352,N,National Interagency Fire Center (NIFC),The National Interagency Fire Center (NIFC) coordinates the national mobilization of resources for wildland fire and other incidents throughout the United States.
353,N,National Invasive Species Information Center (NISIC),"The National Invasive Species Information Center (NISIC) was established in 2005 at the U.S. Department of Agriculture (USDA's) National Agricultural Library (NAL) to meet the information needs of users, including the National Invasive Species Council (Council or NISC)."
354,N,National Labor Relations Board (NLRB),"The National Labor Relations Board (NLRB) enforces the National Labor Relations Act by investigating allegations of wrong-doing brought by workers, unions, or employers, conducting elections, and deciding and resolving cases."
355,N,National Laboratories,The National Laboratories conduct scientific research and development in areas related to energy and technology.
356,N,National Library of Medicine,"The National Library of Medicine (NLM) is a leader in research in biomedical informatics and data science and the worldâ€™s largest biomedical library. NLM conducts and supports research in methods for recording, storing, retrieving, preserving, and communicating health information. It is part of the National Institutes of Health (NIH)."
357,N,National Marine Fisheries Service,"NOAA Fisheries, also known as the National Marine Fisheries Service, is responsible for the management, conservation, and protection of living marine resources within about 200 miles of the U.S. coast."
358,N,National Mediation Board (NMB),The National Mediation Board (NMB) facilitates the resolution of labor-management disputes in the rail and airline industries.
359,N,National Nuclear Security Administration (NNSA),"The National Nuclear Security Administration (NNSA) works to ensure that the nation's stockpile of nuclear weapons is safe and secure. It also works to ensure the safety of naval nuclear reactors, is the first responder in case of nuclear emergency, and works on worldwide nuclear nonproliferation issues."
360,N,National Ocean Service,"The National Ocean Service (NOS) provides data, tools, and services that support coastal economies and their contribution to the national economy."
361,N,National Oceanic and Atmospheric Administration (NOAA),"The National Oceanic and Atmospheric Administration (NOAA) works to understand and predict changes in climate, weather, oceans, and coasts. Their work supports severe weather preparedness, and international shipping."
362,N,National Park Foundation (NPF),"The National Park Foundation (NPF) supports Americaâ€™s national parks through conservation, preservation, education, and community engagement."
363,N,National Park Service (NPS),The National Park Service (NPS) cares for the more than 400 national parks in the United States. The National Park Service partners with local communities to assist in historic preservation and the creation and maintenance of recreational spaces.
364,N,National Pesticide Information Center (NPIC),"The National Pesticide Information Center (NPIC) provides objective, science-based information about a wide variety of pesticide-related subjects, including pesticide products, pesticide poisonings, toxicology, and environmental chemistry."
365,N,National Prevention Information Network (NPIN),"The CDC National Prevention Information Network (NPIN) is the reference and referral service for information on HIV/AIDS, viral hepatitis, sexually transmitted diseases (STDs), and tuberculosis (TB)."
366,N,National Reconnaissance Office (NRO),"The National Reconnaissance Office (NRO) is responsible for designing, building, launching, and maintaining intelligence satellites."
367,N,National Science Foundation (NSF),"The National Science Foundation (NSF) supports research and education across all fields of science and technology, primarily through grants."
368,N,National Security Agency (NSA),The National Security Agency (NSA) protects national security systems and information.
369,N,National Security Council (NSC),The National Security Council (NSC) advises the President on national security and foreign policy.
370,N,National Technical Information Service (NTIS),"The National Technical Information Service (NTIS) provides businesses, universities, and the public access to government-funded scientific, engineering, technical, and business related information."
371,N,National Telecommunications and Information Administration (NTIA),"The National Telecommunications and Information Administration (NTIA) manages federal spectrum use, makes grants to develop and deploy broadband internet, conducts telecommunications research, and advises the president on telecommunications and information policy issues."
372,N,National Transportation Safety Board (NTSB),"The National Transportation Safety Board (NTSB) investigates every civil aviation accident in the U.S. and significant accidents in other modes of transportation. Based on their investigative findings and special studies, the board makes recommendations aimed at preventing future accidents."
373,N,National Weather Service,"The National Weather Service provides weather, water, and climate forecasts and data."
374,N,Natural Resources Conservation Service (NRCS),The Natural Resources Conservation Service (NRCS) works with landowners for conservation planning and assistance to foster healthy ecosystems.
375,N,"Natural Resources Revenue, Office of (ONRR)",The Office of Natural Resources Revenue (ONRR) manages the revenues from energy and mineral leases for the use of public natural resources on the Outer Continental Shelf and onshore Federal and American Indian lands.
376,N,Navy,The Navy's primary mission is to defend the United States.
377,N,NOAA Fisheries,"NOAA Fisheries, also known as the National Marine Fisheries Service, is responsible for the management, conservation, and protection of living marine resources within about 200 miles of the U.S. coast."
378,N,Northern Border Regional Commission,"The Northern Border Regional Commission is a federal-state partnership for economic, and community development in northern Maine, New Hampshire, Vermont, and New York."
379,N,Northern Command (USNORTHCOM),"The U.S Northern Command (USNORTHCOM) is responsible for defending the continental United States and Alaska, and for coordinating with the defenses of Canada, Mexico, and the Bahamas."
380,N,"Nuclear Energy, Office of","The Office of Nuclear Energy works to improve the safety, cost, security, and efficiency of nuclear energy generation."
381,N,Nuclear Regulatory Commission (NRC),"The Nuclear Regulatory Commission (NRC) regulates commercial nuclear power plants, and other uses of nuclear materials."
382,N,Nuclear Waste Technical Review Board (NWTRB),The Nuclear Waste Technical Review Board (NWTRB) provides scientific and technical oversight of the Department of Energy's program for managing and disposing of high-level nuclear waste and spent nuclear fuel.
383,O,Oak Ridge National Laboratory (ORNL),"The Oak Ridge National Laboratory (ORNL) conducts world-leading research in advanced materials exploration, alternative fuels, clean energy, and supercomputing."
384,O,Occupational Safety and Health Administration (OSHA),"The Occupational Safety and Health Administration (OSHA) assures safe and healthful working conditions by setting and enforcing standards, and by providing training, outreach, education and assistance."
385,O,Occupational Safety and Health Review Commission (OSHRC),"The Occupational Safety and Health Review Commission (OSHRC) hears trials and appeals, deciding contests of citations or penalties that result from inspections performed by the Occupational Safety and Health Administration."
386,O,"Ocean Energy Management, Bureau of (BOEM)","The Bureau of Ocean Energy Management (BOEM) promotes energy independence, environmental protection, and economic development by managing offshore energy resources."
387,O,"Office for Civil Rights, Department of Education (OCR)",The Office for Civil Rights (OCR) works to ensure equal access to education and resolve complaints of discrimination.
388,O,"Office for Civil Rights, Department of Health and Human Services",The Office for Civil Rights helps to protect you from discrimination in certain healthcare and social service programs.
389,O,"Office of Career, Technical, and Adult Education (OCTAE)","The Office of Career, Technical, and Adult Education (OCTAE) administers and coordinates programs that are related to adult education and literacy, career and technical education, and community colleges."
390,O,Office of Child Support Services (OCSS),"The Office of Child Support Services (OCSS) assures that support (both financial and medical) is available to children through locating parents, establishing paternity, identifying support obligations, and enforcing those obligations."
391,O,Office of Community Planning and Development (CPD),"The Office of Community Planning and Development (CPD) develops communities by promoting decent housing, suitable living environments, and expanded economic opportunities for low and moderate income people."
392,O,Office of Congressional Workplace Rights (OCWR),"The Office of Congressional Workplace Rights (OCWR) advances workplace rights, safety, health, and accessibility in the Legislative Branch."
393,O,Office of Cuba Broadcasting (Radio y TV MartÃ­),The Office of Cuba Broadcasting provides the Cuban people with news and information.
394,O,Office of Disability Employment Policy (ODEP),The Office of Disability Employment Policy (ODEP) creates policies to ensure that people with disabilities are fully integrated in the workforce.
395,O,Office of Elementary and Secondary Education (OESE),"The Office of Elementary and Secondary Education (OESE) works to improve the achievement of students in preschool through secondary school. The office also works to ensure equal education opportunities for all, and to provide assistance to state and local schools."
396,O,Office of Energy Efficiency and Renewable Energy (EERE),"The Office of Energy Efficiency and Renewable Energy (EERE) answers questions about EEREs products, services, and technology programs, and refers callers to the most appropriate EERE resources."
397,O,Office of English Language Acquisition,"Part of the Department of Education, the Office of English Language Acquisition (OELA) supports programs for students learning English."
398,O,Office of Environmental Management,The Office of Environmental Management cleans up nuclear weapons test sites and government sponsored nuclear energy research sites.
399,O,Office of Fair Housing and Equal Opportunity (FHEO),The Office of Fair Housing and Equal Opportunity (FHEO) enforces federal laws and establishes policies to ensure that all Americans have equal access to the housing of their choice.
400,O,Office of Fossil Energy and Carbon Management (FECM),"The Office of Fossil Energy and Carbon Management (FECM) is responsible for research and development of programs involving coal, petroleum, and natural gas."
401,O,Office of Government Ethics (OGE),"The Office of Government Ethics (OGE) provides oversight, policy, and guidance to the Executive Branch regarding ethics laws and policies."
402,O,Office of Housing,The Office of Housing regulates the housing industry and administers the Federal Housing Administration. The regulatory programs administered by the Office of Housing include single family housing and multifamily housing programs.
403,O,Office of Immigrant and Employee Rights (IER),The Immigrant and Employee Rights Section (IER) is responsible for protecting immigrants authorized to work in the U.S. against employment discrimination.
404,O,Office of Investor Education and Advocacy (OIEA),The Office of Investor Education and Advocacy (OIEA) is part of the U.S. Securities and Exchange Commission. They serve individual investors and are ready to assist you in resolving your complaints and answering questions.
405,O,Office of Justice Programs (OJP),"The Office of Justice Programs (OJP) is a research and grant-making organization that works to provide local and state law enforcement agencies with information, training, coordination, and innovative strategies for dealing with the most pressing law enforcement issues."
406,O,Office of Juvenile Justice and Delinquency Prevention (OJJDP),"The Office of Juvenile Justice and Delinquency Prevention (OJJDP) sponsors research, programs and training initiatives in an effort to strengthen the juvenile justice system and serve at risk youth and their families."
407,O,Office of Lead Hazard Control and Healthy Homes (OLHCHH),The Office of Lead Hazard Control and Healthy Homes (OLHCHH) works to make private homes safe from lead and other harmful materials.
408,O,Office of Local Defense Community Cooperation,The Office of Local Defense Community Cooperation helps states and communities adjust to major changes related local Department of Defense activities and installations.
409,O,Office of Management and Budget (OMB),"The Office of Management and Budget (OMB) oversees the performance of federal agencies, and administers the federal budget."
410,O,Office of Manufactured Housing Programs (OMHP),"The Manufactured Housing Program (OMHP) is a consumer protection program that regulates the construction of certain factory-built housing units called ""manufactured homes""."
411,O,Office of Minority Health (OMH),The Office of Minority Health (OMH) improves the health of racial and ethnic minority populations through the development of health policies and programs.
412,O,Office of Multifamily Housing Programs (MFH),The Office of Multifamily Housing (MFH) Programs administers the Department of Housing and Urban Development's multifamily housing programs through a network of local offices across the country.
413,O,Office of National Drug Control Policy (ONDCP),The Office of National Drug Control Policy (ONDCP) advises the president on drug-control issues.
414,O,Office of Natural Resources Revenue (ONRR),The Office of Natural Resources Revenue (ONRR) manages the revenues from energy and mineral leases for the use of public natural resources on the Outer Continental Shelf and onshore Federal and American Indian lands.
415,O,Office of Nuclear Energy,"The Office of Nuclear Energy works to improve the safety, cost, security, and efficiency of nuclear energy generation."
416,O,Office of Personnel Management (OPM),"The Office of Personnel Management (OPM) manages the civil service of the federal government, coordinates recruiting of new government employees, and manages their health insurance and retirement benefits programs. They also provide resources for locating student jobs, summer jobs, scholarships, and internships."
417,O,Office of Policy Development and Research (PD&R),The Office of Policy Development and Research (PD&R) provides the Department of Housing and Urban Development up-to-date information and analysis of housing and community development issues.
418,O,Office of Postsecondary Education (OPE),The Office of Postsecondary Education (OPE) develops programs to increase access to postsecondary education. This office works with state accreditation agencies to recognize institutions of higher learning that provide quality education.
419,O,Office of Refugee Resettlement (ORR),"The Office of Refugee Resettlement (ORR) promotes the health, well-being, and stability of refugees, unaccompanied children, and other eligible individuals and families through culturally responsive, trauma-informed, and strengths-based services."
420,O,Office of Science and Technology Policy (OSTP),The Office of Science and Technology Policy (OSTP) advises the president on the effects of science and technology on domestic and international affairs.
421,O,Office of Scientific and Technical Information (OSTI),"The Office of Scientific and Technical Information (OSTI) collects, preserves, and makes available the results of research and development carried out or sponsored by the Department of Energy."
422,O,Office of Servicemember Affairs,"The Consumer Financial Protection Bureau's Office of Servicemember Affairs (OSA) addresses consumer financial challenges affecting military members, veterans, and their families."
423,O,Office of Special Counsel (OSC),"The Office of Special Counsel (OSC) is an investigative and prosecutorial office that works to end government and political corruption, and to protect government employees and whistleblowers."
424,O,Office of Special Education and Rehabilitative Services (OSERS),"The Office of Special Education and Rehabilitative Services (OSERS) provides a wide array of supports to parents, students, school districts, and states in three main areas: special education, vocational rehabilitation, and research."
425,O,"Office of Surface Mining, Reclamation and Enforcement (OSMRE)","The Office of Surface Mining, Reclamation and Enforcement (OSMRE) protects populations and the environment during surface coal mining operations. The Office also works to clean and put to good use abandoned mine sites. These missions are accomplished primarily through regulation and oversight of state programs."
426,O,Office of Textiles and Apparel (OTEXA),"The Office of Textiles and Apparel (OTEXA) works on textile trade policy, and textile trade agreements."
427,O,Office of the Assistant Secretary for Research and Technology,The Office of the Assistant Secretary for Research and Technology coordinates the Department of Transportation's research initiatives and deploys new technologies.
428,O,Office of the Comptroller of the Currency (OCC),"The Office of the Comptroller of the Currency (OCC) charters, regulates, and supervises all national banks. It also supervises the federal branches and agencies of foreign banks."
429,O,Office of the Director of National Intelligence (ODNI),The Office of the Director of National Intelligence (ODNI) integrates the intelligence gathering and analysis functions performed across the intelligence community to provide intelligence to decision makers.
430,O,Office of the Federal Register (OFR),"The Office of the Federal Register (OFR) oversees the Federal Register publication system, making available the full text of federal laws and regulations, presidential documents, and other federal program information."
431,O,Office of the Pardon Attorney,The Office of the Pardon Attorney assists the president in the exercise of executive clemency by reviewing clemency applications and making recommendations.
432,O,Office of Weights and Measures (OWM),"The Office of Weights and Measures (OWM) promotes uniformity in U.S. weights and measures laws, regulations, and standards to achieve equity between buyers and sellers in the marketplace."
433,O,Office on Violence Against Women (OVW),"The Office on Violence Against Women (OVW) reduces violence against women. They help victims of domestic violence, dating violence, sexual assault, and stalking.If you are in immediate danger, call 911."
434,O,Open World Leadership Center,"The Open World Leadership Center administers the Open World program, one of the most effective U.S. exchange programs for countries of the post-Soviet era."
435,P,Pacific Command (USINDOPACOM),The U.S. Indo-Pacific Command (USINDOPACOM) is responsible for defending and promoting U.S. interests in the Pacific and Asia.
436,P,"Pardon Attorney, Office of",The Office of the Pardon Attorney assists the president in the exercise of executive clemency by reviewing clemency applications and making recommendations.
437,P,Parent Information and Resources Center (CPIR),The Center for Parent Information and Resources (CPIR) offers information for children and young people with disabilities under 22 years of age.
438,P,Parole Commission,"The U.S. Parole Commission considers prisoners' applications for parole, deciding whether or not a prisoner has earned a chance to reintegrate into the community."
439,P,Patent and Trademark Office (USPTO),The U.S. Patent and Trademark Office (USPTO) is the agency responsible for granting U.S. patents and registering trademarks.
440,P,Peace Corps,"Peace Corps volunteers travel to developing countries all over the world to assist with many ongoing efforts including AIDS education, business training, and information infrastructure development."
441,P,Pension Benefit Guaranty Corporation (PBGC),The Pension Benefit Guaranty Corporation (PBGC) insures and guarantees private sector workers' pensions.
442,P,Pentagon Force Protection Agency (PFPA),"The Pentagon Force Protection Agency (PFPA) is a civilian agency that protects the occupants, visitors, and infrastructure of Pentagon facilities."
443,P,Pipeline and Hazardous Materials Safety Administration (PHMSA),The Pipeline and Hazardous Materials Safety Administration (PHMSA) regulates the transport of hazardous materials.
444,P,Policy Development and Research (PD&R),The Office of Policy Development and Research (PD&R) provides the Department of Housing and Urban Development up-to-date information and analysis of housing and community development issues.
445,P,Postal Inspection Service,The U.S. Postal Inspection Service supports and protects the U.S. Postal Service and its customers by enforcing the laws that defend the nationâ€™s mail system from illegal or dangerous use.
446,P,Postal Regulatory Commission,"The Postal Regulatory Commission is responsible for oversight of the U.S. Postal Service, including oversight of rates and services, and ensuring the Postal Service meets all of its legal requirements."
447,P,Postal Service (USPS),The U.S. Postal Service (USPS) provides mail processing and delivery services to individuals and businesses in the U.S.
448,P,"Postsecondary Education, Office of (OPE)",The Office of Postsecondary Education (OPE) develops programs to increase access to postsecondary education. This office works with state accreditation agencies to recognize institutions of higher learning that provide quality education.
449,P,"President's Council on Fitness, Sports and Nutrition (PCSFN)",The President's Council on Fitness (PCSFN) educates and encourages Americans to adopt a healthy lifestyle.
450,P,Presidential Scholars Commission,"The Commission on Presidential Scholars selects and honors the Presidential Scholars, a group of graduating high school seniors of exceptional talent and commitment to public service."
451,P,Presidio Trust,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.
452,P,Pretrial Services Agency for the District of Columbia,The Pretrial Services Agency for the District of Columbia's promotes pretrial justice and enhances community safety.
453,P,Prevention Information Network (NPIN),"The CDC National Prevention Information Network (NPIN) is the reference and referral service for information on HIV/AIDS, viral hepatitis, sexually transmitted diseases (STDs), and tuberculosis (TB)."
454,P,Privacy and Civil Liberties Oversight Board (PCLOB),The Privacy and Civil Liberties Oversight Board (PCLOB) ensures that the federal governmentâ€™s efforts to prevent terrorism are balanced with the need to protect privacy and civil liberties.â€‹
455,P,Public and Indian Housing (PIH),"The Office of Public and Indian Housing (PIH) works to ensure safe, decent and affordable housing."
456,P,Pacific Command (USINDOPACOM),The U.S. Indo-Pacific Command (USINDOPACOM) is responsible for defending and promoting U.S. interests in the Pacific and Asia.
457,P,"Pardon Attorney, Office of",The Office of the Pardon Attorney assists the president in the exercise of executive clemency by reviewing clemency applications and making recommendations.
458,P,Parent Information and Resources Center (CPIR),The Center for Parent Information and Resources (CPIR) offers information for children and young people with disabilities under 22 years of age.
459,P,Parole Commission,"The U.S. Parole Commission considers prisoners' applications for parole, deciding whether or not a prisoner has earned a chance to reintegrate into the community."
460,P,Patent and Trademark Office (USPTO),The U.S. Patent and Trademark Office (USPTO) is the agency responsible for granting U.S. patents and registering trademarks.
461,P,Peace Corps,"Peace Corps volunteers travel to developing countries all over the world to assist with many ongoing efforts including AIDS education, business training, and information infrastructure development."
462,P,Pension Benefit Guaranty Corporation (PBGC),The Pension Benefit Guaranty Corporation (PBGC) insures and guarantees private sector workers' pensions.
463,P,Pentagon Force Protection Agency (PFPA),"The Pentagon Force Protection Agency (PFPA) is a civilian agency that protects the occupants, visitors, and infrastructure of Pentagon facilities."
464,P,Pipeline and Hazardous Materials Safety Administration (PHMSA),The Pipeline and Hazardous Materials Safety Administration (PHMSA) regulates the transport of hazardous materials.
465,P,Policy Development and Research (PD&R),The Office of Policy Development and Research (PD&R) provides the Department of Housing and Urban Development up-to-date information and analysis of housing and community development issues.
466,P,Postal Inspection Service,The U.S. Postal Inspection Service supports and protects the U.S. Postal Service and its customers by enforcing the laws that defend the nationâ€™s mail system from illegal or dangerous use.
467,P,Postal Regulatory Commission,"The Postal Regulatory Commission is responsible for oversight of the U.S. Postal Service, including oversight of rates and services, and ensuring the Postal Service meets all of its legal requirements."
468,P,Postal Service (USPS),The U.S. Postal Service (USPS) provides mail processing and delivery services to individuals and businesses in the U.S.
469,P,"Postsecondary Education, Office of (OPE)",The Office of Postsecondary Education (OPE) develops programs to increase access to postsecondary education. This office works with state accreditation agencies to recognize institutions of higher learning that provide quality education.
470,P,"President's Council on Fitness, Sports and Nutrition (PCSFN)",The President's Council on Fitness (PCSFN) educates and encourages Americans to adopt a healthy lifestyle.
471,P,Presidential Scholars Commission,"The Commission on Presidential Scholars selects and honors the Presidential Scholars, a group of graduating high school seniors of exceptional talent and commitment to public service."
472,P,Presidio Trust,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.
473,P,Pretrial Services Agency for the District of Columbia,The Pretrial Services Agency for the District of Columbia's promotes pretrial justice and enhances community safety.
474,P,Prevention Information Network (NPIN),"The CDC National Prevention Information Network (NPIN) is the reference and referral service for information on HIV/AIDS, viral hepatitis, sexually transmitted diseases (STDs), and tuberculosis (TB)."
475,P,Privacy and Civil Liberties Oversight Board (PCLOB),The Privacy and Civil Liberties Oversight Board (PCLOB) ensures that the federal governmentâ€™s efforts to prevent terrorism are balanced with the need to protect privacy and civil liberties.â€‹
476,P,Public and Indian Housing (PIH),"The Office of Public and Indian Housing (PIH) works to ensure safe, decent and affordable housing."
477,S,"Safety and Environmental Enforcement, Bureau of (BSEE)","The Bureau of Safety and Environmental Enforcement (BSEE) provides oversight and enforcement to promote safety, protect the environment, and conserve offshore resources."
478,S,Saint Lawrence Seaway Development Corporation (GLS),"The Saint Lawrence Seaway Development Corporation (GLS) works to operate and maintain a safe, reliable, efficient waterway between the Great Lakes and the Atlantic Ocean."
479,S,"Science and Technology Policy, Office of (OSTP)",The Office of Science and Technology Policy (OSTP) advises the president on the effects of science and technology on domestic and international affairs.
480,S,"Scientific and Technical Information, Office of (OSTI)","The Office of Scientific and Technical Information (OSTI) collects, preserves, and makes available the results of research and development carried out or sponsored by the Department of Energy."
481,S,Secret Service,The Secret Service works to safeguard the nation's financial infrastructure. The Secret Service is also responsible for protecting national leaders and visiting heads of state.
482,S,Securities and Exchange Commission (SEC),"The Securities and Exchange Commission (SEC) oversees securities exchanges, securities brokers and dealers, investment advisors, and mutual funds in an effort to promote fair dealing, the disclosure of important market information, and to prevent fraud."
483,S,Selective Service System (SSS),The Selective Service System (SSS) provides the Department of Defense personnel in the event of a national emergency. Male citizens and immigrants are required to register with the Selective Service when they turn 18.
484,S,Senate,"The U.S. Senate and the U.S. House of Representatives make up the two chambers of Congress. The Senate has 100 members, two from each state, who are elected to serve for a term of six years."
485,S,Sentencing Commission,"The U.S. Sentencing Commission studies and develops sentencing policies for the federal courts. The Commission serves as an information resource for Congress, the executive, the courts and the public on matters relating to federal crime and sentencing as well."
486,S,"Servicemember Affairs, Office of","The Consumer Financial Protection Bureau's Office of Servicemember Affairs (OSA) addresses consumer financial challenges affecting military members, veterans, and their families."
487,S,Small Business Administration (SBA),"The Small Business Administration (SBA) helps Americans start, build and grow businesses. Through an extensive network of field offices and partnerships, the Small Business Administration assists and protects the interests of small business concerns."
488,S,Smithsonian Institution,"The Smithsonian is the worldâ€™s largest museum, education, and research complex, with 21 museums, 21 libraries, the National Zoo, numerous research centers, and several education units and centers."
489,S,Social Security Administration (SSA),"The Social Security Administration (SSA) has two main functions. One is to assign Social Security numbers. The other is to run the Social Security retirement, survivors, and disability insurance programs.A third function is to run the Supplemental Security Income program, for people who are 65 or older, blind, or with a disability."
490,S,Social Security Advisory Board (SSAB),"The Social Security Advisory Board (SSAB) advises the president, congress and the commissioner of Social Security on Social Security and Supplemental Security Income policy."
491,S,Southeastern Power Administration,The Southeastern Power Administration markets hydroelectric power generated by federal reservoirs to public entities in the southeastern United States.
492,S,Southern Command (SOUTHCOM),"The U.S. Southern Command (SOUTHCOM) is responsible for security cooperation and operations in Central America, South America, and the Caribbean."
493,S,Southwestern Power Administration,The Southwestern Power Administration markets hydroelectric power generated by federal dams to public entities in several states in the South and Southwest.
494,S,Space Command,The U.S. Space Command supports U.S. interests in space.
495,S,"Special Counsel, Office of (OSC)","The Office of Special Counsel (OSC) is an investigative and prosecutorial office that works to end government and political corruption, and to protect government employees and whistleblowers."
496,S,"Special Education and Rehabilitative Services, Office of (OSERS)","The Office of Special Education and Rehabilitative Services (OSERS) provides a wide array of supports to parents, students, school districts, and states in three main areas: special education, vocational rehabilitation, and research."
497,S,Special Operations Command,"The U.S. Special Operations Command (USSOCOM) oversees the special operations capabilities of the various military branches, coordinates their training, strategy, interoperability and operations."
498,S,State Department (DOS),The Department of State (DOS) advises the President and leads the nation in foreign policy issues. The State Department negotiates treaties and agreements with foreign entities and represents the United States at the United Nations.
499,S,State Justice Institute (SJI),The State Justice Institute (SJI) is a grant-making organization dedicated to improving the quality of justice in all state courts. It also works to facilitate better coordination between state and federal courts.
500,S,Stennis Center for Public Service,The Stennis Center provides leadership training to young people interested in careers in public service. It also offers training and development opportunities to congresspeople and their staffs.
501,S,Strategic Command (USSTRATCOM),"The U.S. Strategic Command (USSTRATCOM) detects and deters attacks against the U.S. and its allies. Their mission includes nuclear deterrence, space, and cyberspace capabilities."
502,S,Substance Abuse and Mental Health Services Administration (SAMHSA),The Substance Abuse and Mental Health Services Administration (SAMHSA) works to improve substance abuse and mental health treatment services to those who are most in need of them.
503,S,Supreme Court of the United States,"The U.S. Supreme Court is the final appellate court of the U.S. judicial system. It has the power to review and overturn the decisions of lower courts. The Supreme Court also has original jurisdiction (being the first and final court to hear a case) in certain cases involving public officials, ambassadors, or disputes between states."
504,S,"Surface Mining, Reclamation and Enforcement, Office of (OSMRE)","The Office of Surface Mining, Reclamation and Enforcement (OSMRE) protects populations and the environment during surface coal mining operations. The Office also works to clean and put to good use abandoned mine sites. These missions are accomplished primarily through regulation and oversight of state programs."
505,S,Surface Transportation Board (STB),"The Surface Transportation Board (STB) regulates and decides disputes involving railroad rates, railroad mergers or line sales, and certain other transportation matters."
506,S,Susquehanna River Basin Commission (SRBC),"The Susquehanna River Basin Commission (SRBC) is an interstate body, with representatives from New York, Maryland, Pennsylvania and the federal government, that manages the environmental stewardship and economic development of the Susquehanna river and its tributaries."
507,T,Tax Court,The Tax Court decides disputes between the Internal Revenue Service and taxpayers.
508,T,Tennessee Valley Authority,"The Tennessee Valley Authority (TVA) provides low-cost electricity in seven southeastern states, and provides flood control, navigation, and land management for the Tennessee River system."
509,T,Trade and Development Agency (USTDA),"The United States Trade and Development Agency (USTDA) links U.S. businesses to export opportunities by funding project planning activities, pilot projects, and reverse trade missions."
510,T,Trade Representative,The U.S. Trade Representative (USTR) negotiates with foreign governments to craft trade agreements and resolve disputes.
511,T,Transportation Department (DOT),The Department of Transportation (DOT) is responsible for planning and coordinating federal transportation projects. It also sets safety regulations for all major modes of transportation.
512,T,Transportation Security Administration (TSA),The Transportation Security Administration (TSA) protects the nation's transportation systems to ensure freedom of movement for people and commerce.
513,T,"Transportation Statistics, Bureau of (BTS)",The Bureau of Transportation Statistics (BTS) collects and publishes comprehensive transportation statistics.
514,T,Treasury Department,"The Department of the Treasury manages federal finances by collecting taxes and paying bills and by managing currency, government accounts and public debt. The Department of the Treasury also enforces finance and tax laws."
515,T,Trustee Program,The U.S. Trustee Program protects the integrity of the Federal bankruptcy system. The Program monitors the conduct of bankruptcy parties and private estate trustees. It also identifies and helps investigate bankruptcy fraud and abuse.
516,U,U.S. AbilityOne Commission,The AbilityOne Commission creates job opportunities for people who are blind or have other significant disabilities in the manufacture and delivery of products and services to the Federal Government.
517,U,U.S. Access Board,"The Access Board is an independent federal agency devoted to accessibility for people with disabilities. The Board develops and maintains design criteria for the built environment, transit vehicles, telecommunications equipment, and for electronic and information technology."
518,U,U.S. Africa Command,The U.S. Africa Command strengthens the defense capabilities of African nations.
519,U,U.S. Agency for Global Media,"The U.S. Agency for Global Media, formerly known as the Broadcasting Board of Governors, broadcasts news and information about the United States and the world to audiences abroad."
520,U,U.S. Agency for International Development (USAID),"The U.S. Agency for International Development (USAID) is the principal U.S. agency to extend assistance to countries recovering from disaster, trying to escape poverty, and engaging in democratic reforms."
521,U,U.S. Air Force,The Air Force defends the United States in the air and space.
522,U,U.S. Air Force Reserve Command,The Air Force Reserve Command performs missions and supports Air Force operations.
523,U,U.S. Arctic Research Commission (USARC),The U.S. Arctic Research Commission (USARC) develops and recommends a national Arctic research policy.
524,U,U.S. Army,"The U.S. Army organizes, trains, and equips active duty and Reserve forces to preserve the peace, security, and defense of the United States."
525,U,U.S. Army Corps of Engineers,"The Army Corps of Engineers provides public engineering services in peace and war to strengthen national security, energize the economy, and reduce risks from disasters."
526,U,U.S. Botanic Garden,"The Botanic Garden is a living plant museum that educates visitors about the importance of plants to the well-being of humans, and to Earthâ€™s fragile ecosystems."
527,U,U.S. Capitol Police,"U.S. Capitol Police Officers work to protect life and property, investigate criminal acts, and enforce traffic regulations on U.S. Capitol Grounds. Officers are also responsible for protecting members, officers of Congress, and their families."
528,U,U.S. Capitol Visitor Center,"Take a tour of the historic Capitol, where you can see the Crypt of the Capitol, the Rotunda, and National Statuary Hall."
529,U,U.S. Census Bureau,The U.S. Census Bureau provides data about the nation's people and economy.
